origin,citation
US-2016042542-A1,US-2016109954-A1
US-2016155025-A1,US-9299009-B1
US-2017139406-A1,US-2016320934-A1
US-2016300171-A1,US-2016307151-A1
US-2017174317-A1,US-2016068264-A1
US-2017124079-A1,US-2016371785-A1
US-2017161751-A1,US-2016217506-A1
US-2017161751-A1,US-2016371759-A1
US-2016320922-A1,US-2016035002-A1
US-2016292964-A1,US-2016104138-A1
US-2016379253-A1,US-2016171588-A1
US-2017168493-A1,US-2016025506-A1
US-2017372401-A1,US-2016109954-A1
US-2018121038-A1,US-2016189440-A1
US-2018150902-A1,US-2016307151-A1
US-2017041413-A1,US-9326026-B2
US-2017262475-A1,US-2016189286-A1
US-2017344945-A1,US-2016063435-A1
US-2017344945-A1,US-9373091-B1
US-2017344945-A1,US-2016253740-A1
US-2017053103-A1,US-9489400-B1
US-2018069804-A1,US-2016019636-A1
US-2016171489-A1,US-9519928-B2
US-2016092921-A1,US-2016063598-A1
US-2016092242-A1,US-2016027124-A1
US-2018089978-A1,US-2016092950-A1
US-2017262861-A1,US-2016055479-A1
US-2017083569-A1,US-2016180437-A1
US-2016163132-A1,US-9317983-B2
US-2016350878-A1,US-9519930-B2
US-2018152641-A1,US-2016027091-A1
US-2017131114-A1,US-2016040998-A1
US-2017039667-A1,US-2016307119-A1
US-2018365753-A1,US-2016275530-A1
US-2018365753-A1,US-2016275424-A1
US-2018157698-A1,US-9367421-B2
US-2018095630-A1,US-2016070439-A1
US-2017111303-A1,US-2016317074-A1
US-2017093952-A1,US-2016171432-A1
US-2017093952-A1,US-2016225045-A1
US-2017093952-A1,US-2016364790-A1
US-2017034087-A1,US-2016225059-A1
US-2017364065-A1,US-2016307449-A1
US-2016071082-A1,US-2016210675-A1
US-2016267568-A1,US-2016171486-A1
US-2016026348-A1,US-9390450-B1
US-2017049597-A1,US-2016232599-A1
US-2016299992-A1,US-2016328409-A1
US-2016117726-A1,US-9390402-B1
US-2017357274-A1,US-2016350819-A1
US-2017083826-A1,US-2016284003-A1
US-2017193033-A1,US-9448932-B2
US-2017106875-A1,US-9378601-B2
US-2016328407-A1,US-2016078374-A1
US-2016315909-A1,US-2016092847-A1
US-2016295971-A1,US-2016206042-A1
US-2016316245-A1,US-2016210321-A1
US-2016314629-A1,US-2016104098-A1
US-2018276113-A1,US-2016009211-A1
US-2016165312-A1,US-9532110-B2
